0, -105
1, -100
2, -103
3, -179
4, -117
5, -118
6, -189
7, -122
8, -109
9, -100
10, -119
11, -103
12, -101
13, -27
14, -132
15, -265
16, -102
17, -105
18, -206
19, -181
20, -34
21, -354
22, -91
23, -179
24, -106
25, -144
26, -123
27, -101
28, -90
29, -252
30, -68
31, -103
32, -164
33, -68
34, -100
35, -114
36, -121
37, -142
38, -100
39, -104
40, -71
41, -156
42, -100
43, -100
44, -121
45, -154
46, -70
47, -100
48, -103
49, -188
50, -100
51, -118
52, -379
53, -90
54, -272
55, -795
56, -110
57, -222
58, -329
59, -119
60, -121
61, -100
62, -178
63, -162
64, -293
65, -130
66, -308
67, -31
68, -183
69, -100
70, -130
71, -138
72, -34
73, -77
74, -123
75, -262
76, -129
77, -70
78, -79
79, -94
80, -51
81, -185
82, -103
83, -121
84, -57
85, -100
86, -40
87, -59
88, -86
89, -124
90, -28
91, -52
92, -75
93, -38
94, -64
95, -41
96, -112
97, -48
98, -157
99, -91
